Authors,Year,Title,Journal,PMID,PMCID
"Althage M, Bizouarn T, Kindlund B, Mullins J, Alander J, Rydstrom J",2004,Cross-linking of transmembrane helices in proton-translocating nicotinamide nucleotide transhydrogenase from Escherichia coli: implications for the structure and function of the membrane domain.,Biochim Biophys Acta 1659(1);73-82,15511529,
"Meuller J, Hu X, Bunthof C, Olausson T, Rydstrom J",1996,Identification of an aspartic acid residue in the beta subunit which is essential for catalysis and proton pumping by transhydrogenase from Escherichia coli.,Biochim Biophys Acta 1273(3);191-4,8616154,
"Diaz-Mejia JJ, Babu M, Emili A",2009,Computational and experimental approaches to chart the Escherichia coli cell-envelope-associated proteome and interactome.,FEMS Microbiol Rev 33(1);66-97,19054114,PMC2704936
"Glavas NA, Bragg PD",1995,The mechanism of hydride transfer between NADH and 3-acetylpyridine adenine dinucleotide by the pyridine nucleotide transhydrogenase of Escherichia coli.,Biochim Biophys Acta 1231(3);297-303,7578217,
"Pedersen A, Karlsson GB, Rydstrom J",2008,Proton-translocating transhydrogenase: an update of unsolved and controversial issues.,J Bioenerg Biomembr 40(5);463-73,18972197,
"Hu X, Zhang J, Fjellstrom O, Bizouarn T, Rydstrom J",1999,"Site-directed mutagenesis of charged and potentially proton-carrying residues in the beta subunit of the proton-translocating nicotinamide nucleotide transhydrogenase from Escherichia coli. Characterization of the beta H91, beta D392, and beta K424 mutants.",Biochemistry 38(5);1652-8,9931033,
"Hou C, Bragg PD",2001,Intersubunit crosslinking of the heterotetrameric proton-translocating pyridine nucleotide transhydrogenase of Escherichia coli defines intersubunit contacts between transmembrane helices of the beta subunits.,Biochem Biophys Res Commun 280(2);466-70,11162540,
"Kroner GM, Wolfe MB, Freddolino PL",2019,"Escherichia coli Lrp Regulates One-Third of the Genome via Direct, Cooperative, and Indirect Routes.",J Bacteriol 201(3),30420454,PMC6349092
"Gaudet P, Livstone MS, Lewis SE, Thomas PD",2011,Phylogenetic-based propagation of functional annotations within the Gene Ontology consortium.,Brief Bioinform 12(5);449-62,21873635,PMC3178059
"Meuller J, Zhang J, Hou C, Bragg PD, Rydstrom J",1997,Properties of a cysteine-free proton-pumping nicotinamide nucleotide transhydrogenase.,Biochem J 324 ( Pt 2);681-7,9182734,PMC1218482
"Clarke DM, Loo TW, Gillam S, Bragg PD",1986,Nucleotide sequence of the pntA and pntB genes encoding the pyridine nucleotide transhydrogenase of Escherichia coli.,Eur J Biochem 158(3);647-53,3525165,
"Zahl KJ, Rose C, Hanson RL",1978,Isolation and partial characterization of a mutant of Escherichia coli lacking pyridine nucleotide transhydrogenase.,Arch Biochem Biophys 190(2);598-602,363055,
"Ahmad S, Glavas NA, Bragg PD",1992,Subunit interactions involved in the assembly of pyridine nucleotide transhydrogenase in the membranes of Escherichia coli.,J Biol Chem 267(10);7007-12,1551908,
"Cox GB, Newton NA, Butlin JD, Gibson F",1971,The energy-linked transhydrogenase reaction in respiratory mutants of Escherichia coli K12.,Biochem J 125(2);489-93,4335691,PMC1178083
"GOA, MGI",2001,Gene Ontology annotation based on Enzyme Commission mapping.,Genomics 74;121-128,,
UniProt Consortium,2024,UniProt version 2024-02 released on 2024-03-26.,Database,,
BRENDA team,2014,,,,
"GO Central curators, GOA curators, Rhea curators",2020,Automatic Gene Ontology annotation based on Rhea mapping.,,,
"Gaudet P, Livstone M, Thomas P",2010,Annotation inferences using phylogenetic trees.,,19578431,PMC2699109
UniProt Consortium,2021,UniProt version 2021-03 released on 2021-06-16.,Database,,
UniProt-GOA,2012,"Gene Ontology annotation based on UniProtKB/Swiss-Prot Subcellular Location vocabulary mapping, accompanied by conservative changes to GO terms applied by UniProt.",,,
UniProt,2021,Electronic Gene Ontology annotations created by ARBA machine learning models.,,,
"GOA, DDB, FB, MGI, ZFIN",2001,Gene Ontology annotation through association of InterPro records with GO terms.,,,
